seg_id,week,start,end,dir,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1200000700,금,관악구청,서울대입구,하행,31.79,31.385882352941177,32.18058823529412,32.38470588235294,32.78235294117647,32.338235294117645,31.16588235294118,28.59,27.162352941176472,28.710588235294118,28.653529411764705,28.211764705882352,28.224117647058826,27.77764705882353,27.978235294117646,27.891764705882352,28.341764705882355,28.9,28.241176470588236,29.583529411764705,30.00176470588235,30.868235294117646,31.199411764705882,30.931176470588234
1200000700,목,관악구청,서울대입구,하행,31.57588235294118,31.256470588235295,32.48352941176471,32.79882352941176,32.87235294117647,33.42823529411765,31.09294117647059,27.950588235294116,25.378823529411765,27.619411764705884,29.19235294117647,27.904705882352943,28.19235294117647,27.70529411764706,28.07,28.27529411764706,28.944117647058825,30.222941176470588,30.24,30.744705882352942,30.270588235294117,31.179411764705883,31.604117647058825,31.9
1200000700,수,관악구청,서울대입구,하행,31.565882352941177,31.745882352941177,32.83705882352941,32.862941176470585,33.25764705882353,32.555882352941175,31.244117647058825,27.67764705882353,25.40235294117647,27.655882352941177,29.08235294117647,27.992941176470588,27.941176470588236,27.908823529411766,28.423529411764704,28.790588235294116,28.52764705882353,29.410588235294117,29.60529411764706,30.82764705882353,30.388823529411766,31.244117647058825,31.410588235294117,31.605882352941176
1200000700,월,관악구청,서울대입구,하행,32.48166666666667,31.88,32.95055555555555,32.97944444444445,32.92888888888889,32.309444444444445,30.67388888888889,26.283333333333335,23.86888888888889,26.79,29.43888888888889,28.504444444444445,28.297777777777778,28.33277777777778,28.676111111111112,28.441666666666666,29.055,30.58222222222222,30.851666666666667,31.385555555555555,30.5,31.565555555555555,31.702222222222222,31.913333333333334
1200000700,일,관악구청,서울대입구,하행,32.49777777777778,31.540555555555557,31.717222222222222,32.06611111111111,32.74388888888889,32.407222222222224,31.697222222222223,32.105,30.824444444444445,30.67222222222222,30.07111111111111,29.219444444444445,29.634444444444444,29.54611111111111,29.532222222222224,29.86,29.785555555555554,29.802222222222223,30.352222222222224,30.504444444444445,30.516666666666666,30.95277777777778,31.365555555555556,32.79388888888889
1200000700,토,관악구청,서울대입구,하행,31.815,31.078333333333333,31.375,32.05833333333334,31.590555555555557,32.83611111111111,31.297777777777778,29.523333333333333,29.145,28.539444444444445,29.84888888888889,30.538888888888888,30.497777777777777,30.39777777777778,30.712222222222223,30.640555555555554,30.388333333333332,30.519444444444446,30.814444444444444,31.33222222222222,30.892777777777777,30.845,31.080000000000002,31.70888888888889
1200000700,화,관악구청,서울대입구,하행,31.89470588235294,31.45764705882353,32.56411764705882,33.65764705882353,33.34235294117647,33.3935294117647,31.15705882352941,27.52235294117647,25.51,27.874117647058824,29.50294117647059,28.126470588235293,28.47764705882353,28.674117647058825,28.531176470588235,29.045294117647057,29.36470588235294,30.409411764705883,30.37470588235294,30.633529411764705,30.831764705882353,31.26529411764706,31.43764705882353,31.704117647058823
1200000800,금,서울대입구,관악구청,상행,28.379411764705882,28.819411764705883,30.049411764705884,30.840588235294117,30.58235294117647,31.026470588235295,29.19058823529412,26.531176470588235,24.581764705882353,21.051176470588235,19.456470588235295,20.781764705882352,23.359411764705882,23.468235294117648,21.52,19.877058823529413,16.105882352941176,14.92764705882353,15.303529411764705,19.74705882352941,25.341176470588234,27.557058823529413,28.49823529411765,28.611176470588237
1200000800,목,서울대입구,관악구청,상행,28.641176470588235,29.036470588235293,29.363529411764706,30.296470588235294,30.93235294117647,31.2,29.738235294117647,24.77,23.40823529411765,21.549411764705884,19.264117647058825,21.71529411764706,24.594117647058823,25.531764705882352,24.17705882352941,22.709411764705884,20.37,17.117058823529412,17.027058823529412,21.391764705882352,26.441764705882353,27.583529411764705,28.81235294117647,28.853529411764708
1200000800,수,서울대입구,관악구청,상행,28.982352941176472,29.308823529411764,30.044117647058822,30.866470588235295,30.405882352941177,30.941176470588236,30.051764705882352,25.03058823529412,22.721764705882354,20.031764705882352,19.61529411764706,22.17529411764706,25.04764705882353,25.584705882352942,24.69764705882353,23.156470588235294,18.866470588235295,16.371764705882352,17.11529411764706,21.511764705882353,26.59,28.02470588235294,28.624117647058824,28.951764705882354
